generic_name,dosage_form,strength,therapeutic_category,who_list_section,notes,unit,reorder_level
acetylsalicylic acid,Injection,4 mg/mL (as disodium phosphate salt) in 1 mL ampoule,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,vial,20
acetylsalicylic acid,Oral liquid,2 mg/5 mL,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,bottle,20
acetylsalicylic acid,Tablet,2 mg,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,strip,20
acetylsalicylic acid,Tablet,4 mg,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,strip,20
acetylsalicylic acid,Injection,5 mg/mL,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,vial,20
acetylsalicylic acid,Rectal gel,"5 mg/mL in 0.5 mL, 2 mL, 4 mL rectal delivery system",WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
diazepam,Rectal solution,"2 mg/mL in 1.25 mL, 2.5 mL rectal tube",WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
diazepam,Rectal solution,4 mg/mL,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
diazepam,Tablet,5 mg,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,strip,20
diazepam,Tablet,10 mg,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,strip,20
diazepam,Capsule,100 mg,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,strip,20
docusate sodium,Oral liquid,50 mg/5 mL,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,bottle,20
docusate sodium,fluoxetine,20 mg (as hydrochloride),WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
docusate sodium,Injection,5 mg in 1 mL ampoule,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,vial,20
docusate sodium,Oral liquid,2 mg/mL,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,bottle,20
docusate sodium,Solid,0.5 mg,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
docusate sodium,Solid,2mg,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
docusate sodium,Solid,5 mg,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
docusate sodium,Injection,20 mg/mL,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,vial,20
docusate sodium,Injection,400 micrograms/mL,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,vial,20
docusate sodium,Injection,600 micrograms/mL,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,vial,20
docusate sodium,Transdermal patch,1 mg/72 hours,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
docusate sodium,Oral liquid,3.1 to 3.7 g/5 mL,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,bottle,20
docusate sodium,loperamide,2 mg,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
docusate sodium,Injection,5 mg/mL (hydrochloride) in 2 mL ampoule,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,vial,20
docusate sodium,Oral liquid,5 mg/5 mL,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,bottle,20
docusate sodium,Solid,10 mg (hydrochloride),WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
docusate sodium,Injection,1 mg/mL,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,vial,20
docusate sodium,Injection,5 mg/mL,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,vial,20
docusate sodium,Oral liquid,2mg/mL,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,bottle,20
docusate sodium,Solid,7.5 mg,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
docusate sodium,Solid,15 mg,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
docusate sodium,Therapeutic,Oral liquid: 4 mg base/5 mL,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
docusate sodium,Solid,4 mg base,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
docusate sodium,Solid,8 mg base,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
docusate sodium,Oral liquid,7.5 mg/5 mL,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,bottle,20
docusate sodium,Injection,4 mg/mL (as disodium phosphate salt) in 1 mL ampoule,WHO EML 2023,Core,3. ANTIALLERGICS AND MEDICINES USED IN ANAPHYLAXIS,vial,20
docusate sodium,Injection,1 mg/mL (as hydrochloride or hydrogen tartrate) in 1 mL,WHO EML 2023,Core,3. ANTIALLERGICS AND MEDICINES USED IN ANAPHYLAXIS,vial,20
epinephrine (adrenaline),hydrocortisone,100 mg (as sodium succinate) in vial,WHO EML 2023,Core,3. ANTIALLERGICS AND MEDICINES USED IN ANAPHYLAXIS,unit,20
epinephrine (adrenaline),Therapeutic,Tablet: 10 mg,WHO EML 2023,Core,3. ANTIALLERGICS AND MEDICINES USED IN ANAPHYLAXIS,unit,20
epinephrine (adrenaline),Oral liquid,5 mg/mL,WHO EML 2023,Core,3. ANTIALLERGICS AND MEDICINES USED IN ANAPHYLAXIS,bottle,20
epinephrine (adrenaline),Tablet,5 mg,WHO EML 2023,Core,3. ANTIALLERGICS AND MEDICINES USED IN ANAPHYLAXIS,strip,20
epinephrine (adrenaline),Tablet,25 mg,WHO EML 2023,Core,3. ANTIALLERGICS AND MEDICINES USED IN ANAPHYLAXIS,strip,20
epinephrine (adrenaline),Injection,200 mg/mL in 10 mL ampoule,WHO EML 2023,Core,4. ANTIDOTES AND OTHER SUBSTANCES USED IN POISONINGS,vial,20
acetylcysteine,Oral liquid,10%,WHO EML 2023,Core,4. ANTIDOTES AND OTHER SUBSTANCES USED IN POISONINGS,bottle,20
acetylcysteine,Oral liquid,20%,WHO EML 2023,Core,4. ANTIDOTES AND OTHER SUBSTANCES USED IN POISONINGS,bottle,20
acetylcysteine,Injection,1 mg (sulfate) in 1 mL ampoule,WHO EML 2023,Core,4. ANTIDOTES AND OTHER SUBSTANCES USED IN POISONINGS,vial,20
acetylcysteine,Injection,100 mg/mL in 10 mL ampoule,WHO EML 2023,Core,4. ANTIDOTES AND OTHER SUBSTANCES USED IN POISONINGS,vial,20
methylthioninium chloride,Injection,10 mg/mL in 10 mL ampoule,WHO EML 2023,Core,4. ANTIDOTES AND OTHER SUBSTANCES USED IN POISONINGS,vial,20
methylthioninium chloride,Injection,400 micrograms (hydrochloride) in 1 mL ampoule,WHO EML 2023,Core,4. ANTIDOTES AND OTHER SUBSTANCES USED IN POISONINGS,vial,20
methylthioninium chloride,penicillamine,250 mg,WHO EML 2023,Core,4. ANTIDOTES AND OTHER SUBSTANCES USED IN POISONINGS,unit,20
methylthioninium chloride,Injection,30 mg/mL in 10 mL ampoule,WHO EML 2023,Core,4. ANTIDOTES AND OTHER SUBSTANCES USED IN POISONINGS,vial,20
methylthioninium chloride,Injection,250 mg/mL in 50 mL ampoule,WHO EML 2023,Core,4. ANTIDOTES AND OTHER SUBSTANCES USED IN POISONINGS,vial,20
methylthioninium chloride,deferoxamine,500 mg (mesilate) in vial,WHO EML 2023,Complementary,4. ANTIDOTES AND OTHER SUBSTANCES USED IN POISONINGS,unit,20
methylthioninium chloride,dimercaprol,50 mg/mL in 2 mL ampoule,WHO EML 2023,Complementary,4. ANTIDOTES AND OTHER SUBSTANCES USED IN POISONINGS,unit,20
methylthioninium chloride,Injection,5 mg/mL (sulfate) in 20 mL ampoule or 1 g/mL (base) in,WHO EML 2023,Complementary,4. ANTIDOTES AND OTHER SUBSTANCES USED IN POISONINGS,vial,20
fomepizole,Injection,200 mg/mL in 5 mL ampoule,WHO EML 2023,Complementary,4. ANTIDOTES AND OTHER SUBSTANCES USED IN POISONINGS,vial,20
fomepizole,succimer,100 mg,WHO EML 2023,Complementary,4. ANTIDOTES AND OTHER SUBSTANCES USED IN POISONINGS,unit,20
fomepizole,Oral liquid,100 mg/5 mL,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,bottle,20
fomepizole,carbamazepine,100 mg,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,unit,20
fomepizole,carbamazepine,200 mg,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,unit,20
fomepizole,Tablet,100 mg,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,strip,20
fomepizole,Tablet,200 mg,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,strip,20
fomepizole,Tablet,400 mg,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,strip,20
fomepizole,Rectal gel,"5 mg/mL in 0.5 mL, 2 mL, 4 mL rectal delivery system",WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,unit,20
diazepam,Rectal solution,"2 mg/mL in 1.25 mL, 2.5 mL rectal tube",WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,unit,20
diazepam,Rectal solution,4 mg/mL,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,unit,20
diazepam,Tablet,25 mg,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,strip,20
diazepam,Tablet,50 mg,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,strip,20
diazepam,Tablet,100 mg,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,strip,20
diazepam,Tablet,200 mg,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,strip,20
diazepam,Tablet,2 mg,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,strip,20
diazepam,Tablet,5 mg,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,strip,20
diazepam,Oral solution,100 mg/mL,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,bottle,20
levetiracetam,Tablet,250 mg,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,strip,20
levetiracetam,Tablet,500 mg,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,strip,20
levetiracetam,Tablet,750 mg,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,strip,20
levetiracetam,Tablet,1000 mg,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,strip,20
levetiracetam,Injection,2 mg/mL in 1 mL ampoule,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,vial,20
levetiracetam,Injection,4 mg/mL in 1 mL ampoule,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,vial,20
levetiracetam,Injection,0.5 g/mL in 2 mL ampoule (equivalent to 1 g in 2 mL,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,vial,20
levetiracetam,Solution,"5 mg/mL in 0.5 mL, 1 mL,",WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,unit,20
levetiracetam,midazolam,1 mg/mL in 5 mL vial,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,unit,20
levetiracetam,midazolam,5 mg/mL in 1 mL or 3 mL vial,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,unit,20
levetiracetam,Injection,"30 mg/mL or 60 mg/mL , 200 mg/mL (sodium)",WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,vial,20
levetiracetam,Oral liquid,15 mg/5 mL,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,bottle,20
levetiracetam,Tablet,15 mg to 100 mg,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,strip,20
levetiracetam,Injection,50 mg/mL (phenytoin sodium),WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,vial,20
levetiracetam,Oral liquid,30 mg/5 mL (phenytoin),WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,bottle,20
phenytoin,Solid,25 mg,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,unit,20
phenytoin,Solid,50 mg,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,unit,20
phenytoin,Solid,100 mg (phenytoin sodium),WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,unit,20
phenytoin,Tablet,50 mg (phenytoin),WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,strip,20
phenytoin,Oral liquid,200 mg/5 mL,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,bottle,20
phenytoin,child-bearing,100 mg,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,unit,20
are ineffective or not tolerated because of the high risk,of,200 mg,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,unit,20
are ineffective or not tolerated because of the high risk,of,500 mg,WHO EML 2023,Core,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,unit,20
are ineffective or not tolerated because of the high risk,Capsule,250 mg,WHO EML 2023,Complementary,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,strip,20
ethosuximide,Oral liquid,250 mg/5 mL,WHO EML 2023,Complementary,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,bottle,20
ethosuximide,Concentrate solution for infusion,500 mg/5mL in 5 mL vial,WHO EML 2023,Complementary,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,vial,20
levetiracetam,Solution for infusion,5 mg/mL,WHO EML 2023,Complementary,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,vial,20
levetiracetam,Solution for infusion,10 mg/mL,WHO EML 2023,Complementary,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,vial,20
levetiracetam,Solution for infusion,15 mg/mL in 100 mL,WHO EML 2023,Complementary,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,vial,20
levetiracetam,Injection,"100 mg/mL in 3 mL, 4 mL, 10 mL ampoule",WHO EML 2023,Complementary,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,vial,20
defects and developmental disorders in,Tablet,10 mg,WHO EML 2023,Complementary,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,strip,20
defects and developmental disorders in,Injection,20 mg/mL,WHO EML 2023,Complementary,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,vial,20
defects and developmental disorders in,Injection,40 mg/mL in pre-filled,WHO EML 2023,Complementary,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,vial,20
glatiramer acetate,Injection,500 mg/50 mL in 50 mL vial,WHO EML 2023,Complementary,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,vial,20
glatiramer acetate,Injection,5 mg (lactate) in 1 mL ampoule,WHO EML 2023,Complementary,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,vial,20
glatiramer acetate,Tablet,2 mg (hydrochloride),WHO EML 2023,Complementary,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,strip,20
glatiramer acetate,Therapeutic,Tablet: 100 mg + 10 mg,WHO EML 2023,Complementary,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,unit,20
glatiramer acetate,Therapeutic,100 mg + 25 mg,WHO EML 2023,Complementary,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,unit,20
glatiramer acetate,Therapeutic,250 mg + 25 mg,WHO EML 2023,Complementary,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,unit,20
glatiramer acetate,albendazole,400 mg,WHO EML 2023,Core,6. ANTI-INFECTIVE MEDICINES,unit,20
glatiramer acetate,Tablet,3 mg,WHO EML 2023,Core,6. ANTI-INFECTIVE MEDICINES,strip,20
glatiramer acetate,Tablet,50 mg,WHO EML 2023,Core,6. ANTI-INFECTIVE MEDICINES,strip,20
glatiramer acetate,Tablet,150 mg (as hydrochloride),WHO EML 2023,Core,6. ANTI-INFECTIVE MEDICINES,strip,20
glatiramer acetate,mebendazole,100 mg,WHO EML 2023,Core,6. ANTI-INFECTIVE MEDICINES,unit,20
glatiramer acetate,mebendazole,500 mg,WHO EML 2023,Core,6. ANTI-INFECTIVE MEDICINES,unit,20
glatiramer acetate,niclosamide,500 mg,WHO EML 2023,Core,6. ANTI-INFECTIVE MEDICINES,unit,20
glatiramer acetate,Tablet,"150 mg, 500 mg",WHO EML 2023,Core,6. ANTI-INFECTIVE MEDICINES,strip,20
praziquantel,Tablet,600 mg,WHO EML 2023,Core,6. ANTI-INFECTIVE MEDICINES,strip,20
praziquantel,pyrantel,250 mg (as embonate or pamoate),WHO EML 2023,Core,6. ANTI-INFECTIVE MEDICINES,unit,20
praziquantel,albendazole,400 mg,WHO EML 2023,Core,6. ANTI-INFECTIVE MEDICINES,unit,20
praziquantel,Tablet,50 mg,WHO EML 2023,Core,6. ANTI-INFECTIVE MEDICINES,strip,20
praziquantel,Tablet,100 mg (dihydrogen citrate),WHO EML 2023,Core,6. ANTI-INFECTIVE MEDICINES,strip,20
praziquantel,Tablet,3 mg,WHO EML 2023,Core,6. ANTI-INFECTIVE MEDICINES,strip,20
praziquantel,Tablet,"150 mg, 500 mg",WHO EML 2023,Core,6. ANTI-INFECTIVE MEDICINES,strip,20
praziquantel,triclabendazole,250 mg,WHO EML 2023,Core,6. ANTI-INFECTIVE MEDICINES,unit,20
praziquantel,Capsule,250 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
praziquantel,Oral liquid,250 mg/5 mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
praziquantel,Tablet,200 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
albendazole,Tablet,400 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,25
albendazole,mebendazole,"100 mg , 500 mg",WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,25
albendazole,Tablet,"150 mg, 500 mg",WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,25
praziquantel,Tablet,600 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
praziquantel,Injection,50 mg/mL (as sulfate),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
praziquantel,Injection,250 mg/mL (as sulfate) in 2 mL vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
amikacin,Powder for injection,250 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
amikacin,Powder for injection,500 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
amikacin,Powder for injection,1 g (as sodium) in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
amikacin,Powder for oral liquid,125 mg/5 mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
amikacin,Powder for oral liquid,250 mg/5 mL (as trihydrate),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
amikacin,Solid,250 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
amikacin,Solid,500 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
amikacin,Solid,1g (as trihydrate),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
amikacin,Tablet,250 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
amikacin,Tablet,500 mg (as trihydrate),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
amikacin,Powder for injection,500 mg (as sodium) + 100 mg (as potassium salt),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
amikacin,Powder for injection,1000 mg (as,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
amikacin,Powder for oral liquid,125 mg (as trihydrate)+ 31.25 mg (as potassium salt)/5 mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
